Column1;Column2;Column3;Column4
czywiesz24;jak wielki by³ Iguanacolossus?;63/44/9e/a9/43/c1/38/29/f1/c7/65/42/7b/15/58/b6/wikiIguanacolossus/wikiIguanacolossus.xml;wikiIguanacolossus
czywiesz25;który z bohaterów powieœci Pan Wo³odyjowski u¿ywa³ Zatajonego Miesi¹ca?;90/e1/bd/e8/d8/e7/ad/47/29/3b/f6/2c/4c/a2/c6/bf/wikiZatajony#Miesi_261_c/wikiZatajony#Miesi_261_c.xml;wikiZatajony#Miesi_261_c
czywiesz26;czyje k³opoty niesie na swoich ramionach Wêdrowiec Boscha?;1f/d2/1e/30/f1/51/63/8a/11/84/81/c6/92/1c/b4/59/wikiW_281_drowiec#_40_obraz#Hieronima#Boscha_41_/wikiW_281_drowiec#_40_obraz#Hieronima#Boscha_41_.xml;wikiW_281_drowiec#_40_obraz#Hieronima#Boscha_41_
czywiesz27;dlaczego rosyjska flota w 1904 roku zaatakowa³a brytyjskie kutry rybackie?;2b/c1/e1/d0/89/0e/70/fa/18/18/58/64/d3/6f/82/e5/wikiIncydent#na#Dogger#Bank/wikiIncydent#na#Dogger#Bank.xml;wikiIncydent#na#Dogger#Bank
czywiesz28;jaki jest mechanizm tworzenia wi¹zania wêgiel-fosfor w reakcji Michaelisa-Arbuzowa?;d6/85/a6/7b/07/f0/22/e0/fd/e6/1d/18/ad/b1/b4/30/wikiReakcja#Michaelisa_45_Arbuzowa/wikiReakcja#Michaelisa_45_Arbuzowa.xml;wikiReakcja#Michaelisa_45_Arbuzowa
czywiesz29;jak¹ rolê pe³ni¹ kapliczki s³upowe na osiedlu Winiary w Poznaniu?;e6/ac/f0/59/e0/00/67/86/9c/5c/45/62/ed/16/d5/e5/wikiZesp_243__322_#kapliczek#s_322_upowych#na#Winiarach#w#Poznaniu/wikiZesp_243__322_#kapliczek#s_322_upowych#na#Winiarach#w#Poznaniu.xml;wikiZesp_243__322_#kapliczek#s_322_upowych#na#Winiarach#w#Poznaniu
czywiesz30;kto namalowa³ obraz pt. Madonna w komnacie?;73/29/d1/f4/de/89/a4/1c/52/1c/c4/94/98/2f/eb/77/wikiMadonna#w#komnacie/wikiMadonna#w#komnacie.xml;wikiMadonna#w#komnacie
czywiesz31;co zawiera³y utracone karty koptyjsko-greckiego Papirusu 6?;34/41/ba/db/f6/7a/12/b2/e7/23/ea/85/a6/95/c1/bc/wikiPapirus#6/wikiPapirus#6.xml;wikiPapirus#6
czywiesz32;kto œpiewa³ przy otwarciu Auditorium Building?;42/e7/9d/15/fc/88/1d/eb/88/2e/81/fe/e0/51/a2/05/wikiAuditorium#Building/wikiAuditorium#Building.xml;wikiAuditorium#Building
czywiesz33;kiedy wprowadzono do u¿ytku pierwszy komercyjny samolot pasa¿erski z ciœnieniow¹ kabin¹ dla za³ogi i pasa¿erów umo¿liwiaj¹c¹ loty na du¿ych wysokoœciach?;fc/00/21/42/86/e3/d7/c3/77/54/e1/69/84/4c/02/15/wikiBoeing#307#Stratoliner/wikiBoeing#307#Stratoliner.xml;wikiBoeing#307#Stratoliner
czywiesz34;kto by³ t³umaczem jêzyka angielskiego u Mao Zedonga?;42/0b/9f/26/3e/43/f6/ba/8a/62/db/c5/4f/a3/10/c1/wikiHuang#Hua#_40_polityk_41_/wikiHuang#Hua#_40_polityk_41_.xml;wikiHuang#Hua#_40_polityk_41_
czywiesz35;z jakiego materia³u wykonuje siê koszyki na bidony rowerowe?;8f/7c/e3/7a/8d/d4/78/db/b3/28/45/29/51/2a/58/bb/wikiKoszyk#na#bidon/wikiKoszyk#na#bidon.xml;wikiKoszyk#na#bidon
czywiesz36;od czego zale¿y rodzaj zapachu zwi¹zku chemicznego wed³ug wibracyjnej teorii Turina?;a9/4f/27/5c/59/bc/20/07/3b/34/1b/8d/c4/9c/61/6e/wikiWibracyjna#teoria#Turina/wikiWibracyjna#teoria#Turina.xml;wikiWibracyjna#teoria#Turina
czywiesz37;kto namalowa³ obraz pod tytu³em Porwanie córek Leukippa?;f9/47/d8/ef/d4/67/00/a1/7a/22/06/40/d2/34/8e/e8/wikiPorwanie#c_243_rek#Leukippa/wikiPorwanie#c_243_rek#Leukippa.xml;wikiPorwanie#c_243_rek#Leukippa
czywiesz38;czym zajmuje siê francuskie przedsiêbiorstwo Keolis?;f3/9e/aa/f9/13/a6/e7/74/e2/1b/b7/48/b1/20/bb/e3/wikiKeolis/wikiKeolis.xml;wikiKeolis
czywiesz39;jak¹ rolê w upadku komunizmu w NRD odegra³ koœció³ œw. Miko³aja w Lipsku?;28/d8/39/c2/8e/04/13/42/b5/62/71/37/f4/d2/fd/32/wikiKo_347_ci_243__322_#_347_w_46_#Miko_322_aja#w#Lipsku/wikiKo_347_ci_243__322_#_347_w_46_#Miko_322_aja#w#Lipsku.xml;wikiKo_347_ci_243__322_#_347_w_46_#Miko_322_aja#w#Lipsku
czywiesz40;gdzie u¿ywany by³ pierwszy samolot Boeinga Model 1?;9b/7d/59/09/2b/a8/1e/01/54/c2/81/05/cd/ff/df/3c/wikiBoeing#Model#1/wikiBoeing#Model#1.xml;wikiBoeing#Model#1
czywiesz41;w jakim kraju znajduje siê sieæ National Rail?;28/ce/ca/84/e7/52/45/0f/fb/71/5b/03/d5/20/8e/c6/wikiNational#Rail/wikiNational#Rail.xml;wikiNational#Rail
czywiesz42;kiedy zbudowano kaplicê Najœwiêtszej Marii Panny w Studzienicznej?;82/90/9e/72/5a/8e/cb/4f/3b/e7/a4/96/db/4c/78/2e/wikiKaplica#Naj_347_wi_281_tszej#Marii#Panny#w#Studzienicznej/wikiKaplica#Naj_347_wi_281_tszej#Marii#Panny#w#Studzienicznej.xml;wikiKaplica#Naj_347_wi_281_tszej#Marii#Panny#w#Studzienicznej
czywiesz43;do czego s³u¿y Socket G3?;5f/b8/36/08/77/7e/55/50/f5/99/0a/c8/fe/8b/45/e3/wikiSocket#G3/wikiSocket#G3.xml;wikiSocket#G3
czywiesz44;jaki zimowy sport uprawia³ Terry McHugh – rekordzista Irlandii w rzucie oszczepem?;01/9f/9a/bb/1a/c7/59/e0/aa/90/3c/7f/2d/99/a6/a6/wikiTerry#McHugh/wikiTerry#McHugh.xml;wikiTerry#McHugh
czywiesz45;ile nazw nosi³a w przesz³oœci Ulica Marsza³ka Józefa Pi³sudskiego w Tarnowskich Górach?;61/fb/29/8f/82/38/8d/c5/b1/2b/9a/ad/e5/d3/01/f8/wikiUlica#Marsza_322_ka#J_243_zefa#Pi_322_sudskiego#w#Tarnowskich#G_243_rach/wikiUlica#Marsza_322_ka#J_243_zefa#Pi_322_sudskiego#w#Tarnowskich#G_243_rach.xml;wikiUlica#Marsza_322_ka#J_243_zefa#Pi_322_sudskiego#w#Tarnowskich#G_243_rach
czywiesz46;dlaczego suwaki tupi¹?;6a/61/61/4f/1b/6c/94/34/d0/dc/4e/f5/42/70/83/ea/wikiSuwak#mongolski/wikiSuwak#mongolski.xml;wikiSuwak#mongolski
czywiesz47;reprezentanci ilu europejskich krajów odnotowali rekordy w rzucie oszczepem mê¿czyzn?;99/28/fb/50/42/45/ab/0f/cb/ec/b2/a2/63/2b/1d/33/wikiRekordy#kraj_243_w#europejskich#w#rzucie#oszczepem#m_281__380_czyzn/wikiRekordy#kraj_243_w#europejskich#w#rzucie#oszczepem#m_281__380_czyzn.xml;wikiRekordy#kraj_243_w#europejskich#w#rzucie#oszczepem#m_281__380_czyzn
czywiesz48;nad jak¹ rzek¹ le¿y G³ówne Miasto w Gdañsku?;68/06/3a/a4/c0/68/ab/3b/72/be/55/bd/e9/88/1b/53/wikiMot_322_awa/wikiMot_322_awa.xml;wikiMot_322_awa
czywiesz49;kim by³ Walther Kurt von Seydlitz-Kurzbach?;92/ae/b7/ce/14/c3/1f/9f/6c/e6/6f/0e/1c/84/5e/57/wikiWalther#Kurt#von#Seydlitz_45_Kurzbach/wikiWalther#Kurt#von#Seydlitz_45_Kurzbach.xml;wikiWalther#Kurt#von#Seydlitz_45_Kurzbach
czywiesz50;czym zajmowa³ siê na Uniwersytecie Moskiewskim Christian Frederick Matthaei?;11/cd/8e/90/84/1b/73/ec/56/f2/cd/d3/60/80/1e/66/wikiChristian#Frederick#Matthaei/wikiChristian#Frederick#Matthaei.xml;wikiChristian#Frederick#Matthaei
czywiesz51;co kszta³towa³o kulturê Lubliniaków?;0b/cc/40/67/2c/6d/e1/9c/37/2e/0e/ce/e5/7f/60/52/wikiLubliniacy/wikiLubliniacy.xml;wikiLubliniacy
czywiesz52;w jaki sposób pieprzojad szmaragdowy opiekuje siê swoim potomstwem?;6f/d1/8b/be/cc/03/09/6a/a8/b3/87/f6/24/03/3c/0c/wikiPieprzojad#szmaragdowy/wikiPieprzojad#szmaragdowy.xml;wikiPieprzojad#szmaragdowy
czywiesz53;który francuski genera³, na rozkaz Napoleona Bonaparte, przeprowadzi³ proces i egzekucjê ksiêcia Ludwika d'Enghien?;93/6f/b9/fd/b0/9f/96/d5/ce/6d/70/f9/a8/73/cd/7b/wikiAnne#Jean#Marie#Ren_233_#Savary/wikiAnne#Jean#Marie#Ren_233_#Savary.xml;wikiAnne#Jean#Marie#Ren_233_#Savary
czywiesz54;gdzie zgin¹³ przedwojenny minister Antoni Olszewski?;12/bc/8d/6a/c7/38/0c/76/bb/32/78/8c/d7/e8/4f/be/wikiPustk_243_w#_40_ob_243_z_41_/wikiPustk_243_w#_40_ob_243_z_41_.xml;wikiPustk_243_w#_40_ob_243_z_41_
czywiesz55;jaka gleba powstanie w pierwszej fazie erozji ska³?;f8/8f/57/36/f1/9b/4a/d4/84/de/f4/40/1f/d1/8a/91/wikiGleby#inicjalne/wikiGleby#inicjalne.xml;wikiGleby#inicjalne
czywiesz56;kogo nazywano olœniewaj¹c¹ nazistowsk¹ ksiê¿niczk¹?;b4/a1/52/d7/e4/b1/00/77/e7/9e/ec/db/c8/be/a6/f5/wikiGudrun#Burwitz/wikiGudrun#Burwitz.xml;wikiGudrun#Burwitz
czywiesz57;czym ws³awi³a siê XIX-wieczna fregata Pa³³ada?;b1/08/96/8a/5c/44/9f/4c/cb/79/b5/ec/9f/a6/44/bc/wikiPa_322__322_ada#_40_1833_41_/wikiPa_322__322_ada#_40_1833_41_.xml;wikiPa_322__322_ada#_40_1833_41_
czywiesz58;jakie prawa przys³uguj¹ pacjentowi?;9d/46/ab/c9/f1/e7/37/f0/b3/b1/14/35/5e/b2/30/0e/wikiPrawa#pacjenta/wikiPrawa#pacjenta.xml;wikiPrawa#pacjenta
czywiesz59;gdzie le¿y P³one Bagno?;f5/16/fa/17/5c/89/bb/5e/8f/c8/02/4e/eb/4d/aa/3e/wikiP_322_one#Bagno/wikiP_322_one#Bagno.xml;wikiP_322_one#Bagno
czywiesz60;za rz¹dów jakiego cesarza wzniesiono œwi¹tyniê Shanhua?;18/35/ef/05/0b/cf/00/8c/34/2b/c5/8c/1f/11/95/78/wiki_346_wi_261_tynia#Shanhua/wiki_346_wi_261_tynia#Shanhua.xml;wiki_346_wi_261_tynia#Shanhua
czywiesz61;o czym mówi legenda o Tkaczce i Pasterzu?;4e/b0/ea/51/d0/a6/7d/8d/36/9f/63/65/f4/6c/b1/3a/wikiZhin_252_/wikiZhin_252_.xml;wikiZhin_252_
czywiesz62;jaki medal podczas igrzysk azjatyckich w 2010 roku zdoby³a chiñska zawodniczka Wang Zheng?;b6/8c/63/18/3d/fc/89/b6/0b/5c/2e/7b/27/a1/b8/3c/wikiWang#Zheng/wikiWang#Zheng.xml;wikiWang#Zheng
czywiesz63;która œwi¹tynia by³a przed rewolucj¹ kulturaln¹ najwa¿niejszym oœrodkiem kultowym Rosjan w Sinciangu?;e7/b3/a0/16/a2/40/47/37/c1/a7/8f/10/01/af/31/e8/wikiCerkiew#_347_w_46_#Miko_322_aja#w#Yiningu/wikiCerkiew#_347_w_46_#Miko_322_aja#w#Yiningu.xml;wikiCerkiew#_347_w_46_#Miko_322_aja#w#Yiningu
czywiesz64;który prawos³awny œwiêty nazywany jest aposto³em Jakutów?;11/46/76/34/dd/d7/df/c8/3b/2c/66/8a/db/a8/e7/64/wikiMelecjusz#_40_Jakimow_41_/wikiMelecjusz#_40_Jakimow_41_.xml;wikiMelecjusz#_40_Jakimow_41_
czywiesz65;jakie witaminy mo¿na znaleŸæ w ry¿u br¹zowym?;9e/5a/b2/6c/70/56/10/94/55/b3/30/05/4c/2f/5f/6e/wikiRy_380_#br_261_zowy/wikiRy_380_#br_261_zowy.xml;wikiRy_380_#br_261_zowy
czywiesz66;gdzie wystêpuj¹ obecnie okolnicowate znane ze skamienia³oœci znalezionych w Europie?;a2/ef/89/65/df/ea/44/36/81/4b/d2/0c/41/c6/22/49/wikiOkolnicowate/wikiOkolnicowate.xml;wikiOkolnicowate
czywiesz67;ile medali mistrzostw œwiata juniorów zdoby³a Nicole Fessel?;67/6d/ce/4b/61/f1/76/49/48/af/2c/64/ce/1e/7d/d2/wikiNicole#Fessel/wikiNicole#Fessel.xml;wikiNicole#Fessel
czywiesz68;na granicy jakich trzech miast le¿y Las Gniotek?;e9/b3/d8/08/e4/19/fb/01/88/3f/b8/d7/c7/02/2d/30/wikiLas#Gniotek/wikiLas#Gniotek.xml;wikiLas#Gniotek
czywiesz69;jakimi luksusami móg³ siê poszczyciæ pierwszy z hoteli Savoy?;87/84/0e/17/7d/7c/10/7b/d9/77/21/20/99/90/f5/f8/wikiHotel#Savoy/wikiHotel#Savoy.xml;wikiHotel#Savoy
czywiesz70;"w jaki sposób HMS ""Polyphemus"" zainspirowa³ Herberta Wellsa?";dc/e9/53/89/0d/a4/7b/ee/2a/68/36/a7/8a/be/e5/a1/wikiHMS#Polyphemus#_40_1881_41_/wikiHMS#Polyphemus#_40_1881_41_.xml;wikiHMS#Polyphemus#_40_1881_41_
czywiesz71;o czym œwiadczy guzek Darwina?;2e/d5/83/33/a8/8c/24/21/27/fa/b5/57/c1/8f/f5/8e/wikiGuzek#Darwina/wikiGuzek#Darwina.xml;wikiGuzek#Darwina
czywiesz72;wokó³ jakiego ³ba zaciska siê Pêtla Barnarda?;7c/a1/7d/a4/05/8c/3b/22/28/d1/1f/cc/d2/ef/9b/f2/wikiP_281_tla#Barnarda/wikiP_281_tla#Barnarda.xml;wikiP_281_tla#Barnarda
czywiesz73;dlaczego Johann Leonhard Hug nisko ocenia³ tekst Kodeksu Watykañskiego?;2c/3d/0e/f6/51/b7/43/4c/2d/2b/02/41/57/ea/75/45/wikiJohann#Leonhard#Hug/wikiJohann#Leonhard#Hug.xml;wikiJohann#Leonhard#Hug
czywiesz74;gdzie w Dolinie Ma³ego Szerokiego znajduje siê Piek³o?;94/24/9c/a4/3f/b2/58/fb/5a/10/39/bc/6f/4f/46/9f/wikiDolina#Ma_322_ego#Szerokiego/wikiDolina#Ma_322_ego#Szerokiego.xml;wikiDolina#Ma_322_ego#Szerokiego
czywiesz75;jakie roœliny porastaj¹ gleby arktyczne?;88/ff/33/cf/e7/1c/ab/08/42/b6/5b/b1/18/2b/2f/58/wikiGleby#arktyczne/wikiGleby#arktyczne.xml;wikiGleby#arktyczne
czywiesz76;w jaki sposób malarz Stanis³aw Tondos popularyzowa³ swoje prace?;65/c8/ad/d6/2b/5d/97/5c/ab/8b/e8/21/ff/08/10/38/wikiStanis_322_aw#Tondos/wikiStanis_322_aw#Tondos.xml;wikiStanis_322_aw#Tondos
czywiesz77;czym charakteryzuje siê raciborski strój ludowy?;01/74/4e/90/fb/d1/11/f5/f6/e3/16/0e/cf/51/2e/b3/wikiStr_243_j#raciborski/wikiStr_243_j#raciborski.xml;wikiStr_243_j#raciborski
czywiesz78;"w jakich okolicznoœciach Józef Wybicki napisa³ ""Mazurka D¹browskiego""?";b7/79/cb/c5/ad/35/ed/b5/42/90/19/8b/98/94/05/29/wikiJ_243_zef#Wybicki/wikiJ_243_zef#Wybicki.xml;wikiJ_243_zef#Wybicki
czywiesz79;kto ufundowa³ pierwszy meczet w Anglii?;30/ea/be/78/7b/20/42/34/87/4c/03/92/36/d9/e0/b9/wikiWilliam#Abdullah#Quilliam/wikiWilliam#Abdullah#Quilliam.xml;wikiWilliam#Abdullah#Quilliam
czywiesz80;jakim imieniem ochrzci³ Aleksander Che³stowski wraz z kolegami swój bombowiec w Dywizjonie 300?;40/c7/5e/27/61/a3/14/3f/ec/1e/67/3f/e4/e4/16/a6/wikiAleksander#Che_322_stowski/wikiAleksander#Che_322_stowski.xml;wikiAleksander#Che_322_stowski
czywiesz81;jak œmieræ dwóch starszych synów Henryka II M³odszego wp³ynê³a na losy ksiêstwa brunszwickiego?;93/f7/e7/e5/9b/c4/1c/2f/d8/93/7c/9b/04/7b/44/ef/wikiHenryk#II#M_322_odszy/wikiHenryk#II#M_322_odszy.xml;wikiHenryk#II#M_322_odszy
czywiesz82;kto poczu³ siê oszukany w dniu zawiedzionych?;df/13/14/5b/7c/ee/6d/84/ed/47/0a/1a/e4/56/1d/5e/wikiDzie_324_#zawiedzionych/wikiDzie_324_#zawiedzionych.xml;wikiDzie_324_#zawiedzionych
czywiesz83;w wyniku jakiej reakcji chemicznej mo¿na otrzymaæ syntetyczn¹ kapsaicynê?;81/e5/9e/62/64/65/87/5e/2b/32/c5/bd/3c/08/62/ed/wikiReakcja#Schotten_45_Baumanna/wikiReakcja#Schotten_45_Baumanna.xml;wikiReakcja#Schotten_45_Baumanna
czywiesz84;do czego mia³ s³u¿yæ wszêdo³az?;70/9d/0c/93/7a/bf/d3/8a/72/ae/19/93/10/72/0d/15/wikiWsz_281_do_322_az/wikiWsz_281_do_322_az.xml;wikiWsz_281_do_322_az
czywiesz85;kto za³o¿y³ Park Mu¿akowski?;30/6a/db/ac/7f/a5/83/08/04/67/ea/aa/e5/66/cf/20/wikiHermann#von#P_252_ckler_45_Muskau/wikiHermann#von#P_252_ckler_45_Muskau.xml;wikiHermann#von#P_252_ckler_45_Muskau
czywiesz86;jakie miasta ³¹cz¹ krymskie trolejbusy?;30/2f/34/fb/5b/17/b1/79/d7/ae/5d/90/c4/e6/cd/20/wikiTrolejbusy#na#Krymie/wikiTrolejbusy#na#Krymie.xml;wikiTrolejbusy#na#Krymie
czywiesz87;czyje imiê nosi Morski Oddzia³ Stra¿y Granicznej?;93/d4/1d/76/f4/c6/80/44/a5/24/eb/d4/1d/38/db/e5/wikiKarol#Bacz/wikiKarol#Bacz.xml;wikiKarol#Bacz
czywiesz88;jak powstaj¹ rigosole?;5b/7c/8f/57/59/b7/94/62/27/6a/94/7f/4f/90/13/04/wikiRigosole/wikiRigosole.xml;wikiRigosole
czywiesz89;który niemiecki ³amacz blokady zosta³ zatopiony przez U-Boota?;0b/ae/f7/45/ec/d2/6f/a3/95/d2/99/4c/b7/70/a8/4d/wikiDoggerbank/wikiDoggerbank.xml;wikiDoggerbank
czywiesz90;kto wygra³ wybory prezydenckie na Bia³orusi w 2010 roku?;2b/a1/65/db/cf/05/c9/82/21/db/aa/15/2c/82/09/e0/wikiWybory#prezydenckie#na#Bia_322_orusi#w#2010#roku/wikiWybory#prezydenckie#na#Bia_322_orusi#w#2010#roku.xml;wikiWybory#prezydenckie#na#Bia_322_orusi#w#2010#roku
czywiesz91;na czym polega Matilda effect?;4f/f2/ff/6e/7c/0c/b4/dd/2a/23/2a/b5/fd/16/36/84/wikiMatilda#effect/wikiMatilda#effect.xml;wikiMatilda#effect
czywiesz92;w którym dokumencie papieskim jest mowa o „mrocznych” kartach Biblii?;ce/82/34/9f/fb/91/d5/90/7e/e8/2a/22/dc/1a/8e/03/wikiVerbum#Domini/wikiVerbum#Domini.xml;wikiVerbum#Domini
czywiesz93;ile samolotów zestrzeli³ pó³nocnowietnamski as Nguy?n Vãn C?c?;37/7b/7a/fc/79/58/45/a9/2d/d0/38/c0/0b/2c/72/d6/wikiNguy_7877_n#V_259_n#C_7889_c/wikiNguy_7877_n#V_259_n#C_7889_c.xml;wikiNguy_7877_n#V_259_n#C_7889_c
czywiesz94;dlaczego Finlandia zarz¹dza nale¿¹c¹ do Rosji wysp¹ Ma³yj Wysockij?;4b/21/e6/15/94/84/d3/5f/e5/55/63/a1/1a/75/8c/10/wikiMa_322_yj#Wysockij/wikiMa_322_yj#Wysockij.xml;wikiMa_322_yj#Wysockij
czywiesz95;który w³oski aktor otrzyma³ Z³ot¹ Palmê w Cannes ex aequo z Javierem Bardemem?;91/2c/2d/05/43/bf/7e/27/4c/0e/e1/33/ee/f5/01/2f/wikiElio#Germano/wikiElio#Germano.xml;wikiElio#Germano
czywiesz96;do czego s³u¿¹ dipole odbijaj¹ce?;92/c0/4d/67/2f/1c/10/99/16/fb/24/7c/33/49/b7/22/wikiDipole#odbijaj_261_ce/wikiDipole#odbijaj_261_ce.xml;wikiDipole#odbijaj_261_ce
czywiesz97;czyj pomnik znajduje siê na placu Sejmu Œl¹skiego w Katowicach?;ba/f1/1a/39/6c/27/3d/55/9a/fb/72/e0/1e/06/a5/34/wikiPlac#Sejmu#_346_l_261_skiego#w#Katowicach/wikiPlac#Sejmu#_346_l_261_skiego#w#Katowicach.xml;wikiPlac#Sejmu#_346_l_261_skiego#w#Katowicach
